time,battery_state,rrp,export_kw,import_kw,grid_import_kwh,grid_export_kwh,cumulative_cost,cumulative_revenue,cumulative_profit
10/01/2025 14:45,14.574,35.88,1.836,0,0,0,42.18417703,23.65666964,-18.52750739
10/01/2025 14:50,14.759,44.25,2.22,0,0,0,42.18417703,23.65666964,-18.52750739
10/01/2025 14:55,14.759,87.5,2.928,0,0,0.244,42.18417703,23.67801964,-18.50615739
10/01/2025 15:00,14.759,82,2.4,0,0,0.2,42.18417703,23.69441964,-18.48975739
10/01/2025 15:05,14.94,12.36,2.172,0,0,0,42.18417703,23.69441964,-18.48975739
10/01/2025 15:10,15.13,45,2.28,0,0,0,42.18417703,23.69441964,-18.48975739
10/01/2025 15:15,15.293,36,1.956,0,0,0,42.18417703,23.69441964,-18.48975739
10/01/2025 15:20,15.444,59.47,1.812,0,0,0,42.18417703,23.69441964,-18.48975739
10/01/2025 15:25,15.648,60,2.448,0,0,0,42.18417703,23.69441964,-18.48975739
10/01/2025 15:30,15.887,36,2.868,0,0,0,42.18417703,23.69441964,-18.48975739
10/01/2025 15:35,15.887,83.29,2.484,0,0,0.207,42.18417703,23.71166067,-18.47251636
10/01/2025 15:40,15.887,99.72,1.272,0.084,0,0.099,42.18417703,23.72153295,-18.46264408
10/01/2025 15:45,15.887,94.57,0.696,0.24,0,0.038,42.18417703,23.72512661,-18.45905042
10/01/2025 15:50,15.887,97.86,1.32,0,0,0.11,42.18417703,23.73589121,-18.44828582
10/01/2025 15:55,15.887,90.69,1.176,0,0,0.098,42.18417703,23.74477883,-18.4393982
10/01/2025 16:00,15.887,80.89,0.636,0.204,0,0.036,42.18417703,23.74769087,-18.43648616
10/01/2025 16:05,15.887,74.28,0.924,0,0,0.077,42.18417703,23.75341043,-18.4307666
10/01/2025 16:10,15.974,67.11,1.044,0,0,0,42.18417703,23.75341043,-18.4307666
10/01/2025 16:15,15.974,76,1.068,0,0,0.089,42.18417703,23.76017443,-18.4240026
10/01/2025 16:20,16.063,66.96,1.068,0,0,0,42.18417703,23.76017443,-18.4240026
10/01/2025 16:25,16.154,65.45,1.092,0,0,0,42.18417703,23.76017443,-18.4240026
10/01/2025 16:30,16.244,60,1.08,0,0,0,42.18417703,23.76017443,-18.4240026
10/01/2025 16:35,16.244,69.75,1.116,0,0,0.093,42.18417703,23.76666118,-18.41751585
10/01/2025 16:40,16.244,70.63,1.032,0,0,0.086,42.18417703,23.77273536,-18.41144167
10/01/2025 16:45,16.244,80.39,0.888,0,0,0.074,42.18417703,23.77868422,-18.40549281
10/01/2025 16:50,16.244,80.88,0.78,0,0,0.065,42.18417703,23.78394142,-18.40023561
10/01/2025 16:55,16.244,76.23,0.9,0,0,0.075,42.18417703,23.78965867,-18.39451836
10/01/2025 17:00,16.244,78.68,1.056,0,0,0.088,42.18417703,23.79658251,-18.38759452
10/01/2025 17:05,16.244,80.31,1.068,0,0,0.089,42.18417703,23.8037301,-18.38044693
10/01/2025 17:10,16.244,85.86,0.768,0,0,0.064,42.18417703,23.80922514,-18.37495189
10/01/2025 17:15,16.244,93.71,0.612,0,0,0.051,42.18417703,23.81400435,-18.37017268
10/01/2025 17:20,16.244,101.98,0.804,0,0,0.067,42.18417703,23.82083701,-18.36334002
10/01/2025 17:25,16.244,116.24,0.672,0,0,0.056,42.18417703,23.82734645,-18.35683058
10/01/2025 17:30,16.244,116.93,0.72,0,0,0.06,42.18417703,23.83436225,-18.34981478
10/01/2025 17:35,16.244,99.48,0.684,0,0,0.057,42.18417703,23.84003261,-18.34414442
10/01/2025 17:40,16.244,96.6,0.588,0,0,0.049,42.18417703,23.84476601,-18.33941102
10/01/2025 17:45,16.244,102.01,0.948,0,0,0.079,42.18417703,23.8528248,-18.33135223
10/01/2025 17:50,16.244,110.88,0.804,0,0,0.067,42.18417703,23.86025376,-18.32392327
10/01/2025 17:55,16.244,115.07,0.312,0,0,0.026,42.18417703,23.86324558,-18.32093145
10/01/2025 18:00,16.244,124.43,0.096,0,0,0.008,42.18417703,23.86424102,-18.31993601
10/01/2025 18:05,16.244,121.65,0.06,0,0,0.005,42.18417703,23.86484927,-18.31932776
10/01/2025 18:10,16.244,125.21,0.012,0.06,0.004,0,42.1851099,23.86484927,-18.32026063
10/01/2025 18:15,15.324,143.84,0,0.024,0,0.918,42.1851099,23.99689439,-18.18821551
10/01/2025 18:20,14.404,146.13,0,0.096,0,0.912,42.1851099,24.13016495,-18.05494495
10/01/2025 18:25,13.484,145.75,0,0.12,0,0.91,42.1851099,24.26279745,-17.92231245
10/01/2025 18:30,12.564,170.17,0,0.132,0,0.909,42.1851099,24.41748198,-17.76762792
10/01/2025 18:35,11.644,135.89,0,0.204,0,0.903,42.1851099,24.54019065,-17.64491925
10/01/2025 18:40,10.724,195.88,0,0.264,0,0.898,42.1851099,24.71609089,-17.46901901
10/01/2025 18:45,9.804,170.83,0,0.312,0,0.894,42.1851099,24.86881291,-17.31629699
10/01/2025 18:50,8.884,168.67,0,0.288,0,0.896,42.1851099,25.01994123,-17.16516867
10/01/2025 18:55,7.964,155.65,0,0.348,0,0.891,42.1851099,25.15862538,-17.02648452
10/01/2025 19:00,7.044,173.57,0,0.408,0,0.886,42.1851099,25.3124084,-16.8727015
10/01/2025 19:05,6.124,163.77,0,0.432,0,0.884,42.1851099,25.45718108,-16.72792882
10/01/2025 19:10,5.204,176.19,0,0.66,0,0.865,42.1851099,25.60958543,-16.57552447
10/01/2025 19:15,4.284,192.01,0,0.648,0,0.866,42.1851099,25.77586609,-16.40924381
10/01/2025 19:20,3.364,192.84,0,0.72,0,0.86,42.1851099,25.94170849,-16.24340141
10/01/2025 19:25,2.444,196.73,0,1.416,0,0.802,42.1851099,26.09948595,-16.08562395
