SETTLEMENTDATE,TOTALDEMAND,RRP
2/12/2024 23:55,7665.74,147.88
3/12/2024 0:00,7584.19,141.2
3/12/2024 0:05,7573.59,154.32
3/12/2024 0:10,7571.34,153.49
3/12/2024 0:15,7458.92,151.92
3/12/2024 0:20,7391.43,150.66
3/12/2024 0:25,7355.49,135.82
3/12/2024 0:30,7311.45,144.87
3/12/2024 0:35,7250.3,147.09
3/12/2024 0:40,7271.07,131.3
3/12/2024 0:45,7254.38,146.02
3/12/2024 0:50,7230.3,147.15
3/12/2024 0:55,7200.43,128.45
3/12/2024 1:00,7159.45,126.77
3/12/2024 1:05,7094.44,126.77
3/12/2024 1:10,7076.37,104.89
3/12/2024 1:15,7069.95,104.89
3/12/2024 1:20,7070.54,112.38
3/12/2024 1:25,6988.88,95.91
3/12/2024 1:30,6964.76,96.18
3/12/2024 1:35,6913.28,104.89
3/12/2024 1:40,6976.25,127.72
3/12/2024 1:45,6912.03,115.89
3/12/2024 1:50,6905.08,124.37
3/12/2024 1:55,6887.47,115.89
3/12/2024 2:00,6894.96,123.82
3/12/2024 2:05,6852.41,120.98
3/12/2024 2:10,6894.22,130.18
3/12/2024 2:15,6883.03,115.06
3/12/2024 2:20,6862.38,110.02
3/12/2024 2:25,6825.42,110.02
3/12/2024 2:30,6810.32,107.17
3/12/2024 2:35,6762.58,111.44
3/12/2024 2:40,6746.23,107.54
3/12/2024 2:45,6679.12,104.12
3/12/2024 2:50,6663.75,104.12
3/12/2024 2:55,6673.17,110.02
3/12/2024 3:00,6690.33,129.66
3/12/2024 3:05,6649.26,95.58
3/12/2024 3:10,6717.74,135.8
3/12/2024 3:15,6700.72,96.04
3/12/2024 3:20,6749.78,133.41
3/12/2024 3:25,6685.73,117.31
3/12/2024 3:30,6693.4,104.79
3/12/2024 3:35,6681.81,110.02
3/12/2024 3:40,6720.89,109.59
3/12/2024 3:45,6673.47,108.71
3/12/2024 3:50,6667.88,110.02
3/12/2024 3:55,6692.09,111.41
3/12/2024 4:00,6742.48,111.12
3/12/2024 4:05,6772.48,132.86
3/12/2024 4:10,6820.32,110.02
3/12/2024 4:15,6861.91,132.43
3/12/2024 4:20,6873.19,110.06
3/12/2024 4:25,6905.92,116.95
3/12/2024 4:30,6903.94,111.8
3/12/2024 4:35,6886.28,110.02
3/12/2024 4:40,6989.68,110.02
3/12/2024 4:45,6987.59,110.02
3/12/2024 4:50,7038.96,111.39
3/12/2024 4:55,7053.2,110.02
3/12/2024 5:00,7077.42,140.82
3/12/2024 5:05,7118.54,109.09
3/12/2024 5:10,7271.71,142.37
3/12/2024 5:15,7242.06,110.02
3/12/2024 5:20,7316.75,143.29
3/12/2024 5:25,7369.12,148.44
3/12/2024 5:30,7388.0,150.24
3/12/2024 5:35,7384.19,146.93
3/12/2024 5:40,7405.88,161.36
3/12/2024 5:45,7465.59,147.18
3/12/2024 5:50,7428.94,158.69
3/12/2024 5:55,7458.13,148.5
3/12/2024 6:00,7460.13,146.19
3/12/2024 6:05,7422.82,102.72
3/12/2024 6:10,7423.33,109.01
3/12/2024 6:15,7431.82,101.89
3/12/2024 6:20,7531.73,96.96
3/12/2024 6:25,7547.01,98.92
3/12/2024 6:30,7561.58,87.89
3/12/2024 6:35,7640.31,114.78
3/12/2024 6:40,7651.51,128.54
3/12/2024 6:45,7701.05,130.06
3/12/2024 6:50,7712.83,128.2
3/12/2024 6:55,7747.56,121.89
3/12/2024 7:00,7608.54,110.02
3/12/2024 7:05,7624.12,110.02
3/12/2024 7:10,7660.89,119.31
3/12/2024 7:15,7687.93,124.31
3/12/2024 7:20,7663.6,116.13
3/12/2024 7:25,7572.29,108.68
3/12/2024 7:30,7618.9,116.59
3/12/2024 7:35,7670.13,145.73
3/12/2024 7:40,7653.83,153.8
3/12/2024 7:45,7653.06,153.45
3/12/2024 7:50,7729.36,144.68
3/12/2024 7:55,7809.42,156.99
3/12/2024 8:00,7906.8,252.89
3/12/2024 8:05,7928.14,183.73
3/12/2024 8:10,8139.26,299.98
3/12/2024 8:15,8063.29,254.89
3/12/2024 8:20,8051.28,211.35
3/12/2024 8:25,8102.99,181.28
3/12/2024 8:30,8180.61,254.89
3/12/2024 8:35,8125.14,299.98
3/12/2024 8:40,8115.26,170.0
3/12/2024 8:45,8132.51,150.02
3/12/2024 8:50,8058.28,170.0
3/12/2024 8:55,8063.22,170.0
3/12/2024 9:00,8083.98,178.85
3/12/2024 9:05,8053.22,217.48
3/12/2024 9:10,8122.18,299.99
3/12/2024 9:15,8059.21,278.73
3/12/2024 9:20,8065.81,170.0
3/12/2024 9:25,8088.83,170.0
3/12/2024 9:30,8037.69,170.0
